Epoch,Model Name,Horizon,Dataset,Use_sam,Training Loss,Validation Loss
1,transformer,52,flu_enhanced,False,1.629726767539978,1.2135370969772339
2,transformer,52,flu_enhanced,False,0.9732267260551453,0.8527043461799622
3,transformer,52,flu_enhanced,False,0.8179537057876587,0.784399151802063
4,transformer,52,flu_enhanced,False,0.7583630084991455,0.7624454498291016
5,transformer,52,flu_enhanced,False,0.7375038862228394,0.7548850178718567
6,transformer,52,flu_enhanced,False,0.7039633989334106,0.7103608250617981
7,transformer,52,flu_enhanced,False,0.6544861793518066,0.6837750673294067
8,transformer,52,flu_enhanced,False,0.6256720423698425,0.668030858039856
9,transformer,52,flu_enhanced,False,0.610258162021637,0.660502552986145
10,transformer,52,flu_enhanced,False,0.6028435230255127,0.6592773199081421
11,transformer,52,flu_enhanced,False,0.5945335030555725,0.6543472409248352
12,transformer,52,flu_enhanced,False,0.574722409248352,0.6731219291687012
13,transformer,52,flu_enhanced,False,0.5578790903091431,0.650774359703064
14,transformer,52,flu_enhanced,False,0.5469670295715332,0.6497487425804138
15,transformer,52,flu_enhanced,False,0.540970504283905,0.6526227593421936
16,transformer,52,flu_enhanced,False,0.5378685593605042,0.6582678556442261
17,transformer,52,flu_enhanced,False,0.5254529714584351,0.6556956171989441
18,transformer,52,flu_enhanced,False,0.5151573419570923,0.6624868512153625
19,transformer,52,flu_enhanced,False,0.5060991644859314,0.6541144251823425
1,transformer,52,flu_enhanced,False,1.7864423990249634,1.3059874773025513
2,transformer,52,flu_enhanced,False,1.0298120975494385,0.8382213711738586
3,transformer,52,flu_enhanced,False,0.8390138745307922,0.7762708067893982
4,transformer,52,flu_enhanced,False,0.765674889087677,0.7561916708946228
5,transformer,52,flu_enhanced,False,0.7409534454345703,0.7504428625106812
6,transformer,52,flu_enhanced,False,0.7048308849334717,0.7171801924705505
7,transformer,52,flu_enhanced,False,0.6527121067047119,0.6977143287658691
8,transformer,52,flu_enhanced,False,0.6232889890670776,0.695404052734375
9,transformer,52,flu_enhanced,False,0.608660876750946,0.6836581826210022
10,transformer,52,flu_enhanced,False,0.6017648577690125,0.6828179955482483
