Epoch,Model Name,Horizon,Dataset,Use_sam,Training Loss,Validation Loss
1,transformer,52,flu,False,1.4669787883758545,7.6586103439331055
2,transformer,52,flu,False,1.1757359504699707,6.660665988922119
3,transformer,52,flu,False,1.099070429801941,6.301332950592041
4,transformer,52,flu,False,1.0649787187576294,6.183598041534424
5,transformer,52,flu,False,1.0516715049743652,6.135738372802734
6,transformer,52,flu,False,1.0369899272918701,5.926970481872559
7,transformer,52,flu,False,0.9989161491394043,5.742530345916748
8,transformer,52,flu,False,0.9773069024085999,5.677123546600342
9,transformer,52,flu,False,0.9601185321807861,5.711560249328613
10,transformer,52,flu,False,0.9491789937019348,5.688974857330322
11,transformer,52,flu,False,0.9393473863601685,5.74491024017334
12,transformer,52,flu,False,0.9274839162826538,5.774558067321777
13,transformer,52,flu,False,0.9140551686286926,5.8742780685424805
1,transformer,52,flu,False,1.830122470855713,1.9981566667556763
2,transformer,52,flu,False,1.3975104093551636,1.7213383913040161
3,transformer,52,flu,False,1.2746354341506958,1.60429847240448
4,transformer,52,flu,False,1.216524362564087,1.5579841136932373
5,transformer,52,flu,False,1.202168345451355,1.5549087524414062
6,transformer,52,flu,False,1.1845608949661255,1.4855122566223145
7,transformer,52,flu,False,1.1414111852645874,1.4450210332870483
8,transformer,52,flu,False,1.1147220134735107,1.421082854270935
9,transformer,52,flu,False,1.0942238569259644,1.4039075374603271
10,transformer,52,flu,False,1.0855814218521118,1.3971071243286133
11,transformer,52,flu,False,1.0795985460281372,1.390432357788086
12,transformer,52,flu,False,1.061549186706543,1.4021257162094116
13,transformer,52,flu,False,1.0325658321380615,1.4189153909683228
14,transformer,52,flu,False,1.0139528512954712,1.3924940824508667
15,transformer,52,flu,False,1.0024462938308716,1.4041117429733276
16,transformer,52,flu,False,1.0005102157592773,1.3855749368667603
17,transformer,52,flu,False,0.9753519892692566,1.418529748916626
18,transformer,52,flu,False,0.9607985019683838,1.479172706604004
19,transformer,52,flu,False,0.9546684622764587,1.4264034032821655
20,transformer,52,flu,False,0.9412379860877991,1.442874550819397
21,transformer,52,flu,False,0.9399124979972839,1.441717505455017
1,transformer,52,flu,False,1.7342640161514282,1.8759357929229736
2,transformer,52,flu,False,1.3661531209945679,1.675208568572998
3,transformer,52,flu,False,1.2354589700698853,1.5997573137283325
4,transformer,52,flu,False,1.1924715042114258,1.5594755411148071
5,transformer,52,flu,False,1.1644854545593262,1.552469253540039
6,transformer,52,flu,False,1.1524195671081543,1.496408224105835
7,transformer,52,flu,False,1.1040741205215454,1.5222041606903076
8,transformer,52,flu,False,1.0690186023712158,1.535220980644226
9,transformer,52,flu,False,1.0574778318405151,1.5132648944854736
10,transformer,52,flu,False,1.0405043363571167,1.5192092657089233
11,transformer,52,flu,False,1.0414279699325562,1.5073658227920532
1,transformer,52,flu,False,1.797648310661316,2.3764705657958984
2,transformer,52,flu,False,1.0913058519363403,1.8927369117736816
3,transformer,52,flu,False,0.9230236411094666,1.7625682353973389
4,transformer,52,flu,False,0.8570765852928162,1.7150921821594238
5,transformer,52,flu,False,0.831918478012085,1.702645182609558
6,transformer,52,flu,False,0.7992703914642334,1.6284416913986206
7,transformer,52,flu,False,0.7405104637145996,1.5903187990188599
