data,model,seq_len,pred_len,lr,mse,mae,val_mse,val_mae,train_mse,train_mae,training_time,rho
flu_enhanced,transformer,156,52,0.001,10.437840461730957,1.3186290264129639,1.4480997323989868,0.6679450869560242,0.9566086530685425,0.6685104370117188,151.40441632270813,0.4
flu_enhanced,transformer,156,52,0.001,10.723820686340332,1.3595664501190186,1.4729760885238647,0.6676231622695923,0.9532472491264343,0.6689364910125732,147.71394205093384,0.4
flu_enhanced,transformer,512,52,0.001,8.348533630371094,1.4293556213378906,2.0177524089813232,0.9238678216934204,1.293576717376709,0.8612214922904968,28.431159734725952,0.4
flu_enhanced,transformer,512,52,0.001,18.54171371459961,2.277806520462036,3.2341415882110596,1.2416936159133911,2.1171295642852783,1.136538028717041,23.11471462249756,0.4
flu_enhanced,transformer,512,52,0.001,9.072298049926758,1.59922456741333,2.170535087585449,1.017246127128601,1.819686770439148,1.0794543027877808,17.16921305656433,0.4
flu_enhanced,transformer,512,52,0.001,9.439976692199707,1.654905915260315,2.1796727180480957,1.0206547975540161,1.8847839832305908,1.0851632356643677,18.175442695617676,0.4
flu_enhanced,transformer,512,52,0.001,7.370262622833252,1.3798859119415283,1.7811822891235352,0.8839755058288574,1.2570271492004395,0.8549225926399231,25.864293575286865,0.4
flu_enhanced,transformer,512,52,0.001,7.328938961029053,1.3582358360290527,1.8483697175979614,0.9075109362602234,1.2470163106918335,0.8574842810630798,26.415092706680298,0.4
flu_enhanced,transformer,512,52,0.001,10.708878517150879,1.7756966352462769,2.537909507751465,1.1145764589309692,1.9381227493286133,1.1006901264190674,16.834770679473877,0.4
flu_enhanced,transformer,512,52,0.001,1.4180532693862915,0.896071195602417,1.6877329349517822,0.995014488697052,1.5627793073654175,0.9544194340705872,22.995640516281128,0.4
flu_enhanced,transformer,512,52,0.001,7.71275520324707,1.4109034538269043,1.7557225227355957,0.8847718834877014,1.2647323608398438,0.8646079897880554,28.518129110336304,0.4
flu_enhanced,transformer,512,52,0.001,1.0914238691329956,0.7764467597007751,1.2548563480377197,0.8325189352035522,1.2750535011291504,0.8731008172035217,29.351181745529175,0.4
