YEAR,WEEK,TOTAL SPECIMENS,TOTAL B,TOTAL A
2022,33,74372,36,303
2022,34,76105,43,395
2022,35,76468,39,422
2022,36,71329,22,520
2022,37,73898,42,584
2022,38,78755,75,912
2022,39,76858,87,1423
2022,40,87378,113,2281
2022,41,96578,96,3414
2022,42,104832,118,5677
2022,43,122300,118,10328
2022,44,143938,154,18361
2022,45,153634,191,23048
2022,46,169233,195,31089
2022,47,167755,182,43266
2022,48,204193,176,52228
2022,49,194313,214,50873
2022,50,184276,221,44886
2022,51,160849,152,33444
2022,52,146862,180,22057
2023,1,129706,167,11715
2023,2,117524,170,5698
2023,3,114284,174,3582
2023,4,106389,179,2271
2023,5,103324,220,1689
2023,6,108042,296,1383
2023,7,103307,290,952
2023,8,99369,237,863
2023,9,97763,263,750
2023,10,93282,329,736
2023,11,90493,298,585
2023,12,88452,353,586
2023,13,81788,407,470
2023,14,77565,416,496
2023,15,66421,391,343
2023,16,60834,329,256
2023,17,57548,351,284
2023,18,56853,365,251
2023,19,58343,436,254
2023,20,51210,443,251
2023,21,47104,361,276
2023,22,44996,355,313
2023,23,42166,279,299
2023,24,38218,236,284
2023,25,35289,164,267
2023,26,32748,171,307
2023,27,32117,135,334
2023,28,32835,147,256
2023,29,32969,126,276
2023,30,33059,159,237
2023,31,33901,168,289
2023,32,38096,160,242
2023,33,42334,173,285
2023,34,49362,165,307
2023,35,55105,130,343
2023,36,57733,154,354
2023,37,61604,171,396
2023,38,64823,253,454
2023,39,64925,247,499
2023,40,67997,336,632
2023,41,68574,363,841
2023,42,70211,403,1029
2023,43,72147,475,1186
2023,44,80354,669,1852
2023,45,95597,1236,3237
2023,46,104551,1436,4386
2023,47,98994,1515,5182
2023,48,122970,1948,7631
2023,49,130816,2521,11657
2023,50,143910,3725,16960
2023,51,160801,5013,24134
2023,52,158418,5301,24695
2024,1,142841,4041,17072
2024,2,135499,4024,15905
2024,3,119865,4339,14472
2024,4,124781,5630,15493
2024,5,128083,7134,14753
2024,6,128117,8020,13356
2024,7,124347,8160,12147
2024,8,122121,8731,11242
2024,9,113716,7943,9954
2024,10,106944,7409,8691
2024,11,100810,6270,6529
2024,12,93380,4962,5416
2024,13,88957,4180,4569
2024,14,83879,3205,3761
2024,15,79866,2394,2878
2024,16,73480,1745,2250
2024,17,71692,1322,1771
2024,18,61402,928,1367
2024,19,55346,550,990
2024,20,53075,403,751
2024,21,51458,326,723
2024,22,46530,245,736
2024,23,44910,196,697
2024,24,43227,161,645
2024,25,40957,110,557
2024,26,39563,75,551
2024,27,39053,46,568
2024,28,42932,49,541
2024,29,42669,41,420
2024,30,45337,36,405
2024,31,46133,41,387
2024,32,47597,32,392
2024,33,51516,29,357
2024,34,54781,34,343
2024,35,60541,41,390
2024,36,59354,32,380
2024,37,61877,30,430
2024,38,62493,41,486
2024,39,56656,63,399
2024,40,65261,60,575
2024,41,68622,56,590
2024,42,71690,76,657
2024,43,74806,100,889
2024,44,73326,98,1144
2024,45,68145,97,1333
2024,46,61182,105,1448
